epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,632.578,1.10902,2.2141,1.34792,0.75983,0.12688,0.19223,0.1085,1.2753,3.20957,1.7688,0.000540231,0.000540231,0.000540231
2,1254.49,1.25693,1.87273,1.45287,0.67267,0.08333,0.08709,0.03694,1.85212,3.70954,2.3804,0.00104165,0.00104165,0.00104165
3,1870.89,1.30069,1.83617,1.51196,0.68706,0.24906,0.16034,0.06367,1.86569,4.51608,2.9025,0.00148806,0.00148806,0.00148806
4,2493.81,1.30519,1.76227,1.47677,0.709,0.19444,0.17273,0.06513,2.0471,4.73792,2.87051,0.00141945,0.00141945,0.00141945
5,3124.14,1.29188,1.67914,1.46255,0.79682,0.3021,0.3009,0.15871,1.52754,3.47911,1.90421,0.00133693,0.00133693,0.00133693
6,3752.48,1.2239,1.59861,1.42666,0.79856,0.25926,0.27753,0.16063,1.3339,3.36867,1.82457,0.00125442,0.00125442,0.00125442
7,4382.52,1.1726,1.46015,1.39442,0.82782,0.31481,0.31657,0.16882,1.50963,2.24925,1.96198,0.0011719,0.0011719,0.0011719
8,5010.88,1.18264,1.42876,1.39008,0.78723,0.32499,0.3044,0.19519,1.15419,2.13471,1.49597,0.00108938,0.00108938,0.00108938
9,5657.09,1.09177,1.32251,1.34839,0.8425,0.33558,0.34516,0.20657,1.20348,1.7492,1.53953,0.00100687,0.00100687,0.00100687
10,6291.43,1.09447,1.30431,1.3356,0.87827,0.31173,0.35833,0.24163,1.14589,1.60047,1.49946,0.000924352,0.000924352,0.000924352
11,6917.45,1.06981,1.45642,1.43161,0.83449,0.3179,0.36185,0.23109,1.16011,1.73227,1.50651,0.000841835,0.000841835,0.000841835
12,7543.01,0.94183,1.18895,1.32311,0.82599,0.36427,0.35525,0.24082,1.10021,1.58837,1.49055,0.000759318,0.000759318,0.000759318
13,8172.57,0.89176,1.14382,1.27539,0.85066,0.36728,0.37925,0.2655,1.023,1.45221,1.39567,0.000676802,0.000676802,0.000676802
14,8805.76,0.87256,1.05869,1.25515,0.81645,0.42593,0.39649,0.27332,1.03537,1.35379,1.39605,0.000594286,0.000594286,0.000594286
15,9441.42,0.89116,1.01912,1.26666,0.89272,0.36111,0.40408,0.28729,0.96387,1.26313,1.29912,0.000511769,0.000511769,0.000511769
16,10077.9,0.82569,0.95399,1.21548,0.85247,0.42033,0.42782,0.30408,0.95207,1.21507,1.30627,0.000429253,0.000429253,0.000429253
17,10734.3,0.78784,0.88732,1.17954,0.87997,0.40432,0.44112,0.32137,0.94698,1.10578,1.30045,0.000346736,0.000346736,0.000346736
18,11388.8,0.75318,0.83846,1.1669,0.89482,0.40741,0.45296,0.32441,0.95593,1.1404,1.34261,0.00026422,0.00026422,0.00026422
19,12044.6,0.72086,0.7858,1.14362,0.88782,0.42284,0.45245,0.33387,0.86581,1.06475,1.24185,0.000181703,0.000181703,0.000181703
20,12737.3,0.69879,0.74882,1.12368,0.89625,0.42284,0.4574,0.34245,0.86407,1.01714,1.24383,9.91865e-05,9.91865e-05,9.91865e-05
